Date,Open,High,Low,Close,Adj Close,Volume,percentage
2004-05-28,10.320.000.000,10.400.000.000,10.200.000.000,10.400.000.000,7.573.973.633,25515000,"40446,80%"
2004-05-31,10.340.000.000,10.360.000.000,9.990.000.000,10.120.000.000,7.370.059.570,23875000,"43308,90%"
2004-06-01,10.160.000.000,10.340.000.000,10.120.000.000,10.300.000.000,7.501.147.949,15500000,"65548,39%"
2004-06-02,10.200.000.000,10.220.000.000,9.980.000.000,10.040.000.000,7.311.800.781,25795000,"39542,55%"
2004-06-03,10.060.000.000,10.140.000.000,9.470.000.000,9.470.000.000,6.896.686.035,51000000,"19725,49%"
2004-06-04,9.500.000.000,9.630.000.000,9.340.000.000,9.620.000.000,7.005.927.246,33960000,"27974,09%"
2004-06-07,9.840.000.000,9.940.000.000,9.770.000.000,9.920.000.000,7.224.404.297,28310000,"34758,04%"
2004-06-08,10.100.000.000,10.140.000.000,9.920.000.000,9.960.000.000,7.253.538.086,20680000,"48839,46%"
2004-06-09,10.080.000.000,10.100.000.000,9.610.000.000,9.660.000.000,7.035.057.129,28850000,"34939,34%"
2004-06-10,9.500.000.000,9.580.000.000,9.300.000.000,9.360.000.000,6.816.578.613,55930000,"16985,52%"
2004-06-11,9.360.000.000,9.370.000.000,8.660.000.000,8.730.000.000,6.357.769.531,72110000,"12980,17%"
2004-06-14,8.600.000.000,8.880.000.000,8.530.000.000,8.570.000.000,6.241.246.582,46480000,"18502,58%"
2004-06-15,8.600.000.000,8.770.000.000,8.420.000.000,8.770.000.000,6.386.898.438,39720000,"21651,56%"
2004-06-16,8.800.000.000,9.030.000.000,8.690.000.000,8.720.000.000,6.350.487.793,37445000,"23501,13%"
2004-06-17,8.790.000.000,8.840.000.000,8.580.000.000,8.840.000.000,6.437.879.395,36855000,"23850,22%"
2004-06-18,8.700.000.000,8.880.000.000,8.560.000.000,8.710.000.000,6.343.205.078,26215000,"33187,11%"
2004-06-21,8.800.000.000,8.980.000.000,8.740.000.000,8.920.000.000,6.496.139.648,30140000,"29197,08%"
2004-06-22,8.840.000.000,8.890.000.000,8.710.000.000,8.880.000.000,6.467.008.789,21445000,"41221,73%"
2004-06-23,9.000.000.000,9.080.000.000,8.870.000.000,8.980.000.000,6.539.835.938,28555000,"31518,12%"
2004-06-24,9.240.000.000,9.450.000.000,9.180.000.000,9.390.000.000,6.838.424.316,36185000,"25535,44%"
2004-06-25,9.490.000.000,9.660.000.000,9.430.000.000,9.640.000.000,7.020.492.676,30360000,"31258,23%"
2004-06-28,9.600.000.000,9.600.000.000,9.290.000.000,9.360.000.000,6.816.578.613,26850000,"35754,19%"
2004-06-29,9.200.000.000,9.470.000.000,9.160.000.000,9.420.000.000,6.860.271.484,23050000,"39913,23%"
2004-06-30,9.490.000.000,9.590.000.000,9.390.000.000,9.540.000.000,6.947.664.551,25990000,"36514,04%"
2004-07-01,9.520.000.000,9.550.000.000,9.290.000.000,9.300.000.000,6.772.881.348,25615000,"37165,72%"
2004-07-02,9.100.000.000,9.100.000.000,8.820.000.000,8.880.000.000,6.467.008.789,35895000,"25351,72%"
2004-07-05,8.880.000.000,8.930.000.000,8.670.000.000,8.860.000.000,6.452.442.383,27500000,"32290,91%"
2004-07-06,8.730.000.000,8.930.000.000,8.730.000.000,8.820.000.000,6.423.313.477,22855000,"38197,33%"
2004-07-07,8.500.000.000,8.740.000.000,8.400.000.000,8.740.000.000,6.365.051.270,37500000,"22666,67%"
2004-07-08,8.540.000.000,8.640.000.000,8.390.000.000,8.400.000.000,6.117.440.430,55340000,"15431,88%"
